2025-05-05 00:13:07 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:07 [INFO] Trade registrado: take_profit_short | PnL: 0.00
2025-05-05 00:13:07 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:07 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:07 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:07 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:07 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:07 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:07 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:07 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:07 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:07 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:07 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:07 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:07 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:07 [INFO] Trade registrado: take_profit_short | PnL: 0.00
2025-05-05 00:13:07 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:07 [INFO] Trade registrado: take_profit_short | PnL: 0.00
2025-05-05 00:13:07 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: take_profit_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: take_profit_short | PnL: 0.00
2025-05-05 00:13:08 [INFO] Trade registrado: open_short | PnL: 0.00
